Date,Description,Amount,Balance
20200618,NOTIFIC FEE SMS     NOTIFYME 3 SMS NOTIFICATIONS,0.00,22014.86
20200626,ACB CREDIT LUSH PAYMENT,2816.70,24831.56
20200701,MONTHLY ACC FEE SEE CHARGE STATEMENT DETAIL,-70.00,24761.56
20200704,NOTIFIC FEE SMS     NOTIFYME 1 SMS NOTIFICATION,0.00,24761.56
20200708,ACB CREDIT LUSH_INV007,2559.00,27320.56
20200717,NOTIFIC FEE SMS     NOTIFYME 1 SMS NOTIFICATION,0.00,27320.56
20200720,"CARD REPLACE FEE    CANAL WALK(    140,00 ) CARD NO. 8568",0.00,27320.56
20200720,IBANK PAYMENT TO ABSA BANK Everyone matters,-3040.00,24280.56
20200720,IBANK PAYMENT TO ABSA BANK Tithe,-282.00,23998.56
20200723,IBANK PAYMENT TO ABSA BANK Electric,-500.00,23498.56
20200728,ACB CREDIT LUSH PAYMENT,2509.65,26008.21
20200731,INTERNET BANK FEE,-11.75,25996.46
20200801,MONTHLY ACC FEE SEE CHARGE STATEMENT DETAIL,-70.00,25926.46
20200801,ADMIN CHARGE SEE CHARGE STATEMENT DETAIL,-140.00,25786.46
20200805,NOTIFIC FEE SMS     NOTIFYME 4 SMS NOTIFICATIONS,0.00,25786.46
20200812,"AIRTIME DEBIT                 (      1,50 ) CARD NO. 7067 Telkom Mobile: 0671746400",-139.00,25647.46
20200814,"AIRTIME DEBIT                 (      1,50 ) CARD NO. 7067 Telkom Mobile: 0671746400",-140.00,25507.46
20200818,POS PURCHASE (EFFEC 17082020) PNP CRP WATERFRONT WATER CARD NO.  8568,-99.77,25407.69
20200818,"AIRTIME DEBIT                 (      1,50 ) CARD NO. 7067 Telkom Mobile: 0677424243",-139.00,25268.69
20200819,NOTIFIC FEE SMS     NOTIFYME 2 SMS NOTIFICATIONS,0.00,25268.69
20200820,IBANK PAYMENT TO ABSA BANK Shopping,-2000.00,23268.69
20200821,POS PURCHASE (EFFEC 19082020) JASON BAKERY CAPE CARD NO.  8568,-301.00,22967.69
20200821,POS PURCHASE (EFFEC 19082020) JASON BAKERY CAPE CARD NO.  8568,-356.00,22611.69
20200822,POS PURCHASE (EFFEC 21082020) Bottles WOODS CARD NO.  8568,-949.67,21662.02
20200822,POS PURCHASE (EFFEC 21082020) Bottles WOODS CARD NO.  8568,-949.67,20712.35
20200825,POS PURCHASE (EFFEC 21082020) Bottlesapp SANDT CARD NO.  8568,-3.91,20708.44
20200825,POS CARD REFUND (EFFEC 21082020) Bottles WOODS,949.67,21658.11
20200826,IBANK PAYMENT FROM ABSA BANK Lavender Spray,207.00,21865.11
20200826,ACB CREDIT LUSH PAYMENT,2153.25,24018.36
20200827,POS PURCHASE (EFFEC 25082020) LUSH SOUTH AFRICA WATER CARD NO.  8568,-206.50,23811.86
20200827,ACB CREDIT EMF006,100.00,23911.86
20200830,INTERNET BANK FEE,-1.25,23910.61
20200901,MONTHLY ACC FEE SEE CHARGE STATEMENT DETAIL,-70.00,23840.61
20200901,TRANSACTION CHARGE SEE CHARGE STATEMENT DETAIL,-4.50,23836.11
20200904,NOTIFIC FEE SMS     NOTIFYME 13 SMS NOTIFICATIONS,0.00,23836.11
