Date,Description,Memo,Amount,Balance
18-06-2020,"NOTIFIC FEE SMS NOTIFYME 3 SMS NOTIFICATIONS",,0.00,22014.86
26-06-2020,"ACB CREDIT LUSH PAYMENT",,2816.70,24831.56
01-07-2020,"MONTHLY ACC FEE SEE CHARGE STATEMENT DETAIL",,-70.00,24761.56
04-07-2020,"NOTIFIC FEE SMS NOTIFYME 1 SMS NOTIFICATION",,0.00,24761.56
08-07-2020,"ACB CREDIT LUSH_INV007",,2559.00,27320.56
17-07-2020,"NOTIFIC FEE SMS NOTIFYME 1 SMS NOTIFICATION",,0.00,27320.56
20-07-2020,"CARD REPLACE FEE CANAL WALK( 140,00 ) CARD NO. 8568",,0.00,27320.56
20-07-2020,"IBANK PAYMENT TO ABSA BANK Everyone matters",,-3040.00,24280.56
20-07-2020,"IBANK PAYMENT TO ABSA BANK Tithe",,-282.00,23998.56
23-07-2020,"IBANK PAYMENT TO ABSA BANK Electric",,-500.00,23498.56
28-07-2020,"ACB CREDIT LUSH PAYMENT",,2509.65,26008.21
31-07-2020,"INTERNET BANK FEE",,-11.75,25996.46
01-08-2020,"MONTHLY ACC FEE SEE CHARGE STATEMENT DETAIL",,-70.00,25926.46
01-08-2020,"ADMIN CHARGE SEE CHARGE STATEMENT DETAIL",,-140.00,25786.46
05-08-2020,"NOTIFIC FEE SMS NOTIFYME 4 SMS NOTIFICATIONS",,0.00,25786.46
12-08-2020,"AIRTIME DEBIT ( 1,50 ) CARD NO. 7067 Telkom Mobile: 0671746400",,-139.00,25647.46
14-08-2020,"AIRTIME DEBIT ( 1,50 ) CARD NO. 7067 Telkom Mobile: 0671746400",,-140.00,25507.46
18-08-2020,"PNP CRP WATERFRONT WATER CARD NO. 8568","POS PURCHASE (EFFEC 17082020)",-99.77,25407.69
18-08-2020,"AIRTIME DEBIT ( 1,50 ) CARD NO. 7067 Telkom Mobile: 0677424243","POS PURCHASE (EFFEC 17082020)",-139.00,25268.69
19-08-2020,"NOTIFIC FEE SMS NOTIFYME 2 SMS NOTIFICATIONS","POS PURCHASE (EFFEC 17082020)",0.00,25268.69
20-08-2020,"IBANK PAYMENT TO ABSA BANK Shopping","POS PURCHASE (EFFEC 17082020)",-2000.00,23268.69
21-08-2020,"JASON BAKERY CAPE CARD NO. 8568","POS PURCHASE (EFFEC 19082020)",-301.00,22967.69
21-08-2020,"JASON BAKERY CAPE CARD NO. 8568","POS PURCHASE (EFFEC 19082020)",-356.00,22611.69
22-08-2020,"Bottles WOODS CARD NO. 8568","POS PURCHASE (EFFEC 21082020)",-949.67,21662.02
22-08-2020,"Bottles WOODS CARD NO. 8568","POS PURCHASE (EFFEC 21082020)",-949.67,20712.35
25-08-2020,"Bottlesapp SANDT CARD NO. 8568","POS PURCHASE (EFFEC 21082020)",-3.91,20708.44
25-08-2020,"POS CARD REFUND (EFFEC 21082020) Bottles WOODS","POS PURCHASE (EFFEC 21082020)",949.67,21658.11
26-08-2020,"IBANK PAYMENT FROM ABSA BANK Lavender Spray","POS PURCHASE (EFFEC 21082020)",207.00,21865.11
26-08-2020,"ACB CREDIT LUSH PAYMENT","POS PURCHASE (EFFEC 21082020)",2153.25,24018.36
27-08-2020,"LUSH SOUTH AFRICA WATER CARD NO. 8568","POS PURCHASE (EFFEC 25082020)",-206.50,23811.86
27-08-2020,"ACB CREDIT EMF006","POS PURCHASE (EFFEC 25082020)",100.00,23911.86
30-08-2020,"INTERNET BANK FEE","POS PURCHASE (EFFEC 25082020)",-1.25,23910.61
01-09-2020,"MONTHLY ACC FEE SEE CHARGE STATEMENT DETAIL","POS PURCHASE (EFFEC 25082020)",-70.00,23840.61
01-09-2020,"TRANSACTION CHARGE SEE CHARGE STATEMENT DETAIL","POS PURCHASE (EFFEC 25082020)",-4.50,23836.11
04-09-2020,"NOTIFIC FEE SMS NOTIFYME 13 SMS NOTIFICATIONS","POS PURCHASE (EFFEC 25082020)",0.00,23836.11
